PLAYER_NAME,DRAFT_YEAR,HEIGHT_WO_SHOES_FT_IN,PHYSICAL_SCORE_FINAL,SHOOTING_SCORE,PLAYMAKING_SCORE,DEFENSE_SCORE
ron baker,2016,6' 3.25'',54.63,53.48310646849081,55.753621802076026,48.93411503076332
deandre bembry,2016,6' 4.25'',52.24,34.32913454030967,59.63144593924663,46.220161192629696
ben bentil,2016,6' 7.25'',61.4,49.157051450370346,28.354069555135453,44.785809196928575
jaron blossomgame,2016,6' 6.25'',54.25,61.565229238287856,33.0498682393365,45.71933840772171
joel bolomboy,2016,6' 7.5'',60.93,44.708748003217536,28.709478428088264,49.87488302300455
malcolm brogdon,2016,6' 3.75'',56.49,63.961934562337845,53.98991552570875,31.032500179698346
marquese chriss,2016,6' 8.75'',54.87,43.17110011198568,27.88115508156019,66.99599894569013
isaiah cousins,2016,6' 3.25'',44.87,52.86991065394229,59.58604510926591,40.82343479762915
cheick diallo,2016,6' 7.5'',66.33,22.79206077516456,20.0,79.24580440148038
perry ellis,2016,6' 7'',50.14,57.96434490001037,33.204743449896945,32.74017399812138
dorian finney-smith,2016,6' 6.5'',57.87,52.7122013801539,40.80478186968055,44.3948915433031
michael gbinije,2016,6' 5.5'',44.87,51.65265936485636,53.80268576370735,45.19655216039919
daniel hamilton,2016,6' 6.25'',49.38,53.413705765100566,61.98045527875336,41.47283703657656
josh hart,2016,6' 4'',51.09,50.5909508321977,39.772454964760925,40.684882957910986
nigel hayes,2016,6' 6.25'',64.63,,,
brice johnson,2016,6' 9'',55.11,34.43129018515018,35.40447888202205,66.17834038981748
damian jones,2016,6' 10.25'',62.93,21.976181531994012,31.71516800669515,52.154490750162765
jake layman,2016,6' 8'',46.02,59.91562816537259,29.363623745156783,50.06288375602482
patrick mccaw,2016,6' 5.25'',52.92,54.61065613366748,56.69413539376174,58.843353994044655
malik newman,2016,6' 2.25'',45.14,52.59099178445699,43.96472658482695,23.48313501926256
georges niang,2016,6' 6.75'',51.92,57.68827116918222,48.94276631741612,38.81669209424868
chinanu onuaku,2016,6' 9'',61.47,24.138261526395944,36.99842674021885,74.19446620066071
marcus paige,2016,6' 0.5'',48.44,54.30883421046586,62.20887498555855,37.96293102516562
taurean prince,2016,6' 6.5'',55.41,52.98512339779252,40.11297543186632,49.26605185241056
malachi richardson,2016,6' 4.75'',59.34,50.32195657213495,38.94175128428967,35.393441224468894
pascal siakam,2016,6' 8.25'',64.64,28.782924158504848,34.52162441923593,65.53671025356422
diamond stone,2016,6' 9'',60.91,33.24782301766258,23.943877276504224,62.84180711730342
melo trimble,2016,6' 1.25'',32.4,53.2299201282084,61.0597649068086,37.58000951617292
tyler ulis,2016,5' 8.75'',34.28,54.90513184473588,70.93695652173912,35.98826941050809
jarrod uthoff,2016,6' 8.5'',52.62,58.746531212054784,32.04128579214312,72.20430890753919
denzel valentine,2016,6' 4'',57.26,70.57431709615288,73.6690909090909,35.111187266306885
isaiah whitehead,2016,6' 3.25'',52.35,54.88011465916669,59.4691392722729,55.28466276531544
kyle wiltjer,2016,6' 8.75'',53.67,67.94888758469254,31.85939578670377,34.03914275214952
edrice adebayo,2017,6' 8.75'',62.63,27.43807510454167,26.71863495350336,54.42053200366611
rawle alkins,2017,6' 2.5'',54.08,50.703325809903134,43.12982247386111,41.03650962826295
jarrett allen,2017,6' 9'',68.61,23.11841247243277,25.90760485256528,50.3440166401738
kadeem allen,2017,6' 1'',55.64,55.43295421365541,51.54224151637697,52.0683740075098
ike anigbogu,2017,6' 8.5'',70.44,21.935387569835484,23.43236046648597,71.61616044044789
jamel artis,2017,6' 5.5'',55.01,55.728029908991566,48.290411426233646,25.457260929857306
dwayne bacon,2017,6' 4.75'',55.38,49.48457436391767,36.78936542598353,34.51576271958083
v.j. beachem,2017,6' 6.25'',53.05,58.41759749669802,28.620695812392327,44.29844087598936
jordan bell,2017,6' 7'',56.9,30.02018528815097,38.62894153912188,75.80163030334741
jaron blossomgame,2017,6' 5.75'',54.25,,,
tony bradley,2017,6' 9.25'',68.52,25.609080391151757,32.65586994796668,50.18074026567832
isaiah briscoe,2017,6' 1.25'',55.86,33.174088909472985,58.45518545799644,32.42752921328518
dillon brooks,2017,6' 5'',41.73,57.41367357653522,50.572946439705305,46.83194577525551
thomas bryant,2017,6' 9.5'',70.24,49.26739910479355,33.68814338140244,58.27737175189407
john collins,2017,6' 8.25'',53.98,32.387119623126154,24.331771775023284,61.02293401150301
tyler dorsey,2017,6' 3'',42.84,60.85565845078,39.11142430777432,29.82285071380112
damyean dotson,2017,6' 4.5'',51.39,68.86964909499194,32.92348053931724,32.449925688843486
pj dozier,2017,6' 5.25'',55.79,35.765162234422675,48.59485969477573,50.85627535773202
jawun evans,2017,5' 10.75'',45.81,55.35027679034661,70.18756588068442,47.449354928414174
harry giles,2017,6' 9.25'',64.41,20.50759889428704,26.49052949594766,62.64789754287048
josh hart,2017,6' 3.75'',51.09,,,
nigel hayes,2017,6' 6.25'',64.63,33.52084520330194,48.3116090063683,35.15161973221626
isaiah hicks,2017,6' 7.25'',58.24,34.21611433651607,37.29577179251176,40.76551723826923
wesley iwundu,2017,6' 5.5'',61.49,51.13591868320541,53.40886068238439,37.16325662510145
peter jok,2017,6' 4.25'',49.61,65.93734103995236,44.10028056203028,35.59078230562523
kyle kuzma,2017,6' 8'',56.73,40.27977130221815,43.53746483035315,36.17820746166493
tj leaf,2017,6' 8.75'',51.61,54.32024200854785,47.67233463242064,46.36186582607122
tyler lydon,2017,6' 8.25'',55.41,58.5851457180684,40.23461629283405,50.56092753873298
kennedy meeks,2017,6' 8.75'',56.84,25.77046227762733,32.39346543173798,65.11711159592825
donovan mitchell,2017,6' 1.25'',56.28,56.19797309247318,49.05210610367413,56.03690263505612
monte morris,2017,6' 1.25'',40.34,55.31128658165291,70.65212464589236,40.80903355923334
semi ojeleye,2017,6' 5.25'',53.19,61.22638635788133,35.58463014326788,28.114079342926072
cameron oliver,2017,6' 7'',61.67,51.81369531796868,35.09747961901752,70.51799568202443
justin patton,2017,6' 10'',62.27,21.201096250982,32.437899657829874,63.052877332241735
ivan rabb,2017,6' 8.75'',59.19,27.97601472612694,31.97858290312256,44.87245163436887
davon reed,2017,6' 4.5'',59.91,61.78666522992392,41.96146183274149,40.80903355923335
devin robinson,2017,6' 7'',60.17,52.75127175736303,25.9792926116174,49.37007284067938
kobi simmons,2017,6' 3.25'',45.01,47.73428127978076,49.19559676023438,28.80715268144533
sindarius thornwell,2017,6' 3.5'',56.14,59.8308591504509,44.3112079878898,62.65861190727193
melo trimble,2017,6' 1.25'',32.4,,,
moritz wagner,2017,6' 10'',53.28,,,
derrick white,2017,6' 3.25'',49.19,58.79138161667607,59.11285739009398,54.91671816632979
nigel williams-goss,2017,6' 1.5'',51.41,56.82248633613053,62.78736664439801,43.65378450709175
omer yurtseven,2017,6' 10.5'',55.55,30.98847660700445,38.55030569697945,40.91172033385602
rawle alkins,2018,6' 2.75'',54.08,,,
grayson allen,2018,6' 3'',48.44,60.81806431573894,60.58377588490218,39.7826025899853
kostas antetokounmpo,2018,6' 9'',61.82,22.39362783837541,26.274578382915752,59.62427198211181
udoka azubuike,2018,6' 10'',71.28,,,
jaylen barford,2018,6' 1.25'',38.1,60.35741888557082,45.31915489137058,35.80907006375684
keita bates-diop,2018,6' 7.25'',64.11,54.54151697107819,34.779897219103425,55.600114466049725
tyus battle,2018,6' 5'',51.17,52.85039414520384,35.954211876639945,35.91082459182776
jalen brunson,2018,6' 1'',40.98,61.24201003969661,64.37545503988525,28.604793319850398
tony carr,2018,6' 3'',52.1,63.57275277060103,62.21493991984413,30.772736399851205
jevon carter,2018,6' 0.25'',43.09,61.897141811002015,69.05522725286129,63.35728849895209
donte divincenzo,2018,6' 3.5'',43.49,55.807983957882186,56.36543985963827,37.977156133002055
hamidou diallo,2018,6' 4.25'',58.65,38.97656898969937,34.423615209451754,39.66241347539892
trevon duval,2018,6' 1.5'',53.69,33.18778312992882,66.78967411876857,40.888504698000965
carsen edwards,2018,5' 10.75'',48.63,63.87544812047433,51.04620663222889,37.17057129057582
jacob evans,2018,6' 4.25'',53.72,53.18848440293223,52.82061682450666,53.107699924396535
bruno fernando,2018,6' 8.75'',66.75,32.11814981233352,27.63932664091115,54.035720772717085
melvin frazier,2018,6' 4.5'',63.84,50.00242177268007,44.62353214667792,58.171111164042046
devonte graham,2018,6' 0.25'',49.69,62.90874744370203,69.42997742178801,37.199279839165776
devon hall,2018,6' 4.25'',49.47,67.46277764565681,57.87874646790166,30.671210506571395
jaylen hands,2018,6' 1.5'',44.96,,,
kevin hervey,2018,6' 6.5'',66.06,54.5788802240167,38.28364580976117,45.68619450127753
aaron holiday,2018,5' 11.75'',52.46,65.16900489898467,59.44870126931022,34.4309294860185
kevin huerter,2018,6' 6.25'',43.6,59.6041078805906,49.5537874164105,34.30234298990605
alize johnson,2018,6' 7.25'',46.83,42.93758395765374,46.99503995576237,33.7800623561205
george king,2018,6' 4.75'',58.61,58.61709328167069,29.83856341106751,38.8848676183212
sagaba konate,2018,6' 6.5'',59.13,34.807847920259874,27.13260609056177,78.60807873763201
caleb martin,2018,6' 4.75'',53.75,59.046883293894666,46.65990489985524,44.36863521394549
cody martin,2018,6' 4.75'',54.83,36.54057368386302,61.63039437171432,61.12646244656934
yante maten,2018,6' 7.25'',59.57,48.85658295611351,32.052613838843826,46.6576852714369
brandon mccoy,2018,6' 11.5'',57.34,31.311240379955613,23.76184664164592,59.49916120629506
chimezie metu,2018,6' 8.5'',57.07,38.636892531166346,34.543135571873094,57.73891158069607
sviatoslav mykhailiuk,2018,6' 6.5'',36.14,66.37502864902295,47.16760871498239,36.57741914795464
malik newman,2018,6' 2.5'',45.14,,,
josh okogie,2018,6' 3'',60.57,56.75155011195368,40.50420646262109,54.62821164429181
theo pinson,2018,6' 5'',56.5,39.11955360436459,66.31660870741321,43.816091614278285
jontay porter,2018,6' 10'',53.71,51.71735981685755,46.08765967956313,68.7873002644065
landry shamet,2018,6' 4'',45.28,67.21186685972151,66.77233338517892,28.714691841344298
zhaire smith,2018,6' 2.75'',55.21,54.84846058257656,44.507099580829646,54.95809579209759
omari spellman,2018,6' 8'',61.37,57.21370973184537,28.932102796239832,57.40724392285454
khyri thomas,2018,6' 2.5'',57.8,59.8608778334466,48.96657638541052,45.38970718703746
allonzo trier,2018,6' 3.75'',46.31,61.26287451988293,49.84111154029807,27.460851283220578
moritz wagner,2018,6' 10.5'',53.28,52.84578768582245,27.563998253124467,44.7744540902094
lonnie walker,2018,6' 3.75'',56.02,50.82933631127971,45.099211451571335,39.69579886180353
pj washington,2018,6' 6.5'',64.5,24.909758883090905,35.18034116715333,45.90270361233492
kris wilkes,2018,6' 6.5'',54.26,46.22989698654669,40.58325978294657,37.61168846375078
kenrich williams,2018,6' 6'',44.97,50.48148884456948,56.21422532360121,49.62416616459421
charles bassey,2019,6' 8.75'',64.95,,,
jordan bone,2019,6' 1.5'',35.96,54.67004220627342,69.60510638297872,26.5832048715983
ky bowman,2019,6' 1'',50.52,54.95569502275753,50.25778617131058,41.70891322775305
ignas brazdeikis,2019,6' 5.75'',50.95,56.12538216852225,27.33631226695264,36.38733234920407
o'shae brissett,2019,6' 7'',57.15,35.13200116974256,36.41363227625064,44.31427209210922
moses brown,2019,7' 1.25'',62.77,20.0,20.0,72.10697002235597
brandon clarke,2019,6' 7.25'',44.66,29.643627553041277,42.41812752021487,78.73586827662379
nicolas claxton,2019,6' 10'',60.91,33.38480340229739,36.44943299683697,72.84471208407358
tyler cook,2019,6' 7.25'',59.67,26.953929445114927,40.73888556618765,36.79000979076152
terence davis,2019,6' 3'',54.71,55.26283760016038,51.44002655576347,51.87583649430257
luguentz dort,2019,6' 2.75'',52.44,43.31474100750252,38.99229722566558,42.32569244711648
devon dotson,2019,6' 0'',39.89,,,
carsen edwards,2019,5' 10.75'',48.63,,,
tacko fall,2019,7' 5.25'',78.83,20.0,24.642913484511464,73.15230290457474
bruno fernando,2019,6' 8.75'',66.75,,,
daniel gafford,2019,6' 9.25'',61.29,24.219849450713,25.72389170649391,68.86641446069669
quentin grimes,2019,6' 4'',50.29,,,
kyle guy,2019,6' 0.75'',42.06,66.58496202234706,42.58635245541304,26.27197350044856
jaylen hands,2019,6' 1.5'',44.96,55.914971439504185,66.44976858888619,39.00878364163303
jaxson hayes,2019,6' 10.25'',63.62,32.11814981233352,20.0,73.08465675452571
talen horton-tucker,2019,6' 2.5'',63.39,39.44099020371702,46.575295400883,53.04258401513178
ty jerome,2019,6' 4.25'',35.49,56.094137596904616,68.40028318244839,37.16972575636666
mfiondu kabengele,2019,6' 8.75'',64.29,50.14440044673479,23.019818788000016,66.77338119756944
louis king,2019,6' 6.75'',56.67,57.35333802654239,31.02794779699211,34.15404215062702
dedric lawson,2019,6' 7'',64.14,55.85129985980179,33.96690050041357,55.62646121371957
nassir little,2019,6' 4.5'',62.5,39.93423798160911,29.775901631605144,44.99266338906599
terance mann,2019,6' 4.75'',48.77,53.35911798618521,45.69733104794772,32.25711611264117
cody martin,2019,6' 4.75'',54.83,,,
charles matthews,2019,6' 5'',52.52,36.46827162887861,33.07797450632112,41.134143898895466
jalen mcdaniels,2019,6' 8.25'',56.51,42.36320607498682,38.86258425798412,43.58628390012486
jaylen nowell,2019,6' 3.25'',47.4,60.37172102875014,45.44222960850194,38.87960984704485
miye oni,2019,6' 4.25'',57.17,56.14329969328582,52.97321231532276,52.17729242225075
eric paschall,2019,6' 6'',57.84,50.297485421150434,37.3451701150924,32.44100323582654
reggie perry,2019,6' 8'',57.76,,,
shamorie ponds,2019,5' 11.5'',40.44,56.20418491490352,64.44240989705048,56.46070892937931
jordan poole,2019,6' 3.5'',46.02,58.13807860184527,43.78170454302881,34.03098686967989
neemias queta,2019,6' 10.75'',65.36,,,
naz reid,2019,6' 8.75'',64.36,44.68870798924064,28.010037382373323,43.45750372373228
isaiah roby,2019,6' 7.25'',60.33,41.2718693042812,38.33149172268882,67.94299156847399
admiral schofield,2019,6' 4'',54.93,56.083878992794176,39.74044082362073,38.326668643999
marial shayok,2019,6' 4.5'',60.17,62.82869355661272,35.883194213086334,32.1644922403362
simisola shittu,2019,6' 8.5'',57.76,23.60794001833509,36.56088440095776,39.89649511856795
tremont waters,2019,5' 9.5'',36.68,51.70377497773735,63.59960314153773,60.93999945725362
quinndary weatherspoon,2019,6' 3'',53.46,58.1275817865163,42.902260996323136,44.81557036972631
kris wilkes,2019,6' 6.25'',54.26,,,
grant williams,2019,6' 5.75'',53.81,46.34516650881466,50.61179807631673,58.10670090538972
dylan windler,2019,6' 6.25'',52.41,67.79066926424453,43.38182151697799,49.02934460510366
ty-shon alexander,2020,6'2.00'',52.53,64.15009131382105,45.15293502845671,38.48958695504978
udoka azubuike,2020,6'10.00'',71.28,20.0,27.86523219090942,74.09896209386284
tyler bey,2020,6'6.00'',60.95,52.48527757607819,33.21597450905832,65.38379865723192
yoeli childs,2020,6'6.00'',58.03,50.09854349570648,38.72787477114253,46.41847511079412
mamadi diakite,2020,6'8.50'',65.16,47.923052562153856,24.230097913372465,48.739245289163975
devon dotson,2020,6'0.50'',39.89,48.84602103507985,55.01350125642785,46.56047769971375
cj elleby,2020,6'5.50'',45.39,55.24301249026174,36.5092134490328,56.22445160031051
trent forrest,2020,6'3.50'',50.59,42.93052767567308,54.45008896232814,56.07086516017184
josh green,2020,6'4.50'',52.99,50.86897785611615,48.66519146212084,46.363300572957606
ashton hagans,2020,6'1.50'',53.41,40.55744468306666,66.12295682319623,46.77288938070138
markus howard,2020,5'9.50'',29.04,67.84957048423345,46.44922871550557,28.149055901778723
mason jones,2020,6'3.75'',47.72,56.27065574594803,47.4735990616772,42.365839249533686
nathan knight,2020,6'8.00'',62.23,44.34989014536963,35.395045384881044,58.37260318221098
naji marshall,2020,6'5.75'',60.73,40.73273284740659,50.73056432513277,39.85882944576561
skylar mays,2020,6'3.00'',45.14,60.4627704304,48.61424711128521,44.60230711180693
zeke nnaji,2020,6'9.25'',59.71,33.19402905550406,26.31515395237027,44.073117664559824
jordan nwora,2020,6'5.75'',53.9,61.74173604707212,30.182229297467927,32.09725145512888
reggie perry,2020,6'8.25'',57.76,44.81775644746337,39.18448527826949,51.07816307345486
immanuel quickley,2020,6'2.00'',52.03,69.65888515877963,39.73053278510381,30.174465571094057
nick richards,2020,6'10.50'',58.81,32.76367735823584,20.0,55.00308598088711
grant riller,2020,6'0.25'',45.85,55.32924000059011,52.00235394082279,44.010743829025735
cassius stanley,2020,6'5.00'',44.15,49.28005501402426,29.267925306980533,41.66233327985114
lamar stevens,2020,6'5.75'',49.82,37.63219252265793,39.53401799850102,54.03771431206642
tyrell terry,2020,6'1.50'',30.92,65.63965883155302,48.381893264546825,38.327189723922594
killian tillie,2020,6'8.75'',42.63,55.52518385013069,49.450391030577066,53.2928691902219
kaleb wesson,2020,6'9.25'',65.18,57.27049117882277,36.846619996891775,47.51851493796501
kahlil whitney,2020,6'5.50'',60.76,24.231415821239768,27.92766302141996,34.71178325120176
cassius winston,2020,6'0.50'',48.54,67.07531196892205,65.16288812573212,32.46118266857708
max abmas,2021,5'10.5'',33.92,70.75043787343866,52.68079499482582,37.3301291962968
ochai agbaji,2021,6'4.5'',56.19,52.57238654626854,40.84208512274274,38.541070920134594
marcus bagley,2021,6'6.0'',54.8,50.615790033296655,33.42037725068619,37.22720410092612
scottie barnes,2021,6'7.0'',65.05,32.054832049601885,61.98323335292063,56.29192312654479
charles bassey,2021,6'9.25'',64.95,41.93441959442282,25.462016325234124,74.79144736842106
justin champagnie,2021,6'5.75'',51.65,42.16945258001108,36.1583440862201,55.27368689842223
julian champagnie,2021,6'6.5'',53.51,,,
josh christopher,2021,6'3.25'',53.98,47.1576304686519,33.731035626899136,49.500447998407374
ayo dosunmu,2021,6'3.5'',56.14,53.9481082119907,59.6827050283819,34.55891758754244
kessler edwards,2021,6'7.0'',54.48,60.374424819239046,29.36590158422378,49.0550785993943
luka garza,2021,6'10.0'',57.06,57.11378600125474,38.49919700662384,54.57772344380666
raiquan gray,2021,6'6.5'',54.89,37.99631740400847,43.56757014951689,53.57282180166124
quentin grimes,2021,6'4.0'',50.29,62.50368392457101,39.81557767181673,41.93963673874576
sam hauser,2021,6'6.75'',48.23,68.00572890410862,43.505139846382335,30.973705698193942
aaron henry,2021,6'4.5'',56.81,42.38123728353175,51.0472873068604,56.17127963978699
nah'shon hyland,2021,6'2.0'',55.88,62.63248440841974,36.383729045690096,48.53248204014304
carlik jones,2021,6'0.0'',46.33,47.2972481675489,59.06940873398791,35.14621111345143
johnny juzang,2021,6'5.5'',56.26,59.18587708547747,36.35850199026508,32.067654580724145
corey kispert,2021,6'6.0'',44.19,70.58592273235324,41.10756019649933,36.08842144815061
